Date_YYYY-MM-DD,Country_Region,Location_name,Location_lat,Location_lon,Transect,Position,Size_min_mm,Size_max_mm,Size_class,no_color,black,grey,red_pink,orange_brown_yellow,green,blue,purple
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,21,1,5,microplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,22,1,5,microplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,23,1,5,microplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,1,1,5,microplastics,41,0,0,0,1,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,2,1,5,microplastics,66,0,0,0,0,0,2,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,3,1,5,microplastics,33,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,4,1,5,microplastics,43,1,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,5,1,5,microplastics,34,0,0,0,0,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,6,1,5,microplastics,111,0,1,2,0,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,7,1,5,microplastics,20,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,8,1,5,microplastics,43,0,0,3,1,0,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,9,1,5,microplastics,127,0,1,2,1,0,4,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,10,1,5,microplastics,124,0,1,1,0,3,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,11,1,5,microplastics,15,0,2,1,1,0,2,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,12,1,5,microplastics,14,0,0,0,0,2,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,13,1,5,microplastics,15,0,0,0,0,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,14,1,5,microplastics,129,5,3,0,3,3,6,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,15,1,5,microplastics,9,1,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,16,1,5,microplastics,10,1,0,0,0,2,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,17,1,5,microplastics,0,0,0,0,1,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,18,1,5,microplastics,4,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,19,1,5,microplastics,3,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,20,1,5,microplastics,3,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,21,1,5,microplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,22,1,5,microplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,23,1,5,microplastics,3,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,1,5,25,mesoplastics,7,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,2,5,25,mesoplastics,7,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,3,5,25,mesoplastics,7,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,4,5,25,mesoplastics,3,0,1,0,0,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,5,5,25,mesoplastics,18,1,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,6,5,25,mesoplastics,9,0,0,0,2,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,7,5,25,mesoplastics,6,0,1,0,2,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,8,5,25,mesoplastics,11,0,1,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,9,5,25,mesoplastics,22,0,0,0,0,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,10,5,25,mesoplastics,19,0,0,2,2,3,5,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,11,5,25,mesoplastics,5,2,0,0,0,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,12,5,25,mesoplastics,2,0,0,0,1,0,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,13,5,25,mesoplastics,26,2,2,1,2,3,6,1
