Date_YYYY-MM-DD,Country_Region,Location_name,Location_lat,Location_lon,Transect,Position,Size_min_mm,Size_max_mm,Size_class,Particle_count,Particle_weight_g,Weight_dry_sand_g,Beach_Zone
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,21,1,5,microplastics,0,0.000,1305.4,high_tide_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,22,1,5,microplastics,0,0.000,1345.4,high_tide_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,23,1,5,microplastics,0,0.000,1344.9,intertidal
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,1,1,5,microplastics,43,0.120,1269.9,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,2,1,5,microplastics,68,0.049,1212.7,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,3,1,5,microplastics,33,0.039,1142.4,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,4,1,5,microplastics,44,0.054,1279.7,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,5,1,5,microplastics,35,0.072,1317.2,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,6,1,5,microplastics,115,0.099,1216.3,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,7,1,5,microplastics,20,0.022,1256.5,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,8,1,5,microplastics,48,0.115,1092.0,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,9,1,5,microplastics,135,0.236,1386.4,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,10,1,5,microplastics,130,0.240,1419.7,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,11,1,5,microplastics,21,0.043,1401.9,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,12,1,5,microplastics,16,0.068,1244.3,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,13,1,5,microplastics,16,0.081,1243.2,storm_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,14,1,5,microplastics,149,0.794,1287.9,storm_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,15,1,5,microplastics,10,0.082,1258.4,storm_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,16,1,5,microplastics,13,0.066,1213.5,supra_littoral
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,17,1,5,microplastics,1,0.002,1347.4,supra_littoral
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,18,1,5,microplastics,4,0.031,1402.0,supra_littoral
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,19,1,5,microplastics,3,0.007,1267.7,supra_littoral
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,20,1,5,microplastics,3,0.001,1051.4,supra_littoral
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,21,1,5,microplastics,0,0.000,1256.8,high_tide_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,22,1,5,microplastics,0,0.000,1346.5,high_tide_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,23,1,5,microplastics,3,0.007,1245.2,intertidal
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,1,5,25,mesoplastics,7,0.093,1316.1,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,2,5,25,mesoplastics,7,0.184,1275.0,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,3,5,25,mesoplastics,7,0.085,1407.1,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,4,5,25,mesoplastics,5,0.184,1362.8,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,5,5,25,mesoplastics,19,0.488,1371.0,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,6,5,25,mesoplastics,11,0.156,1395.2,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,7,5,25,mesoplastics,9,0.982,1372.9,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,8,5,25,mesoplastics,12,0.329,1453.3,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,9,5,25,mesoplastics,23,0.263,1226.6,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,10,5,25,mesoplastics,31,2.924,1190.8,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,11,5,25,mesoplastics,8,0.504,1291.0,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,12,5,25,mesoplastics,4,0.194,1260.5,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,13,5,25,mesoplastics,43,4.080,1219.0,storm_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,14,5,25,mesoplastics,6,0.689,1239.0,storm_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,15,5,25,mesoplastics,1,0.059,1324.0,storm_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,16,5,25,mesoplastics,0,0.000,1272.3,supra_littoral
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,17,5,25,mesoplastics,0,0.000,1407.7,supra_littoral
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,18,5,25,mesoplastics,0,0.000,1335.4,supra_littoral
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,19,5,25,mesoplastics,0,0.000,1394.8,supra_littoral
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,20,5,25,mesoplastics,0,0.000,1208.7,supra_littoral
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,21,5,25,mesoplastics,0,0.000,1372.7,high_tide_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,22,5,25,mesoplastics,0,0.000,1449.9,high_tide_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,23,5,25,mesoplastics,0,0.000,1274.8,intertidal
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,1,5,25,mesoplastics,3,0.066,1184.8,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,2,5,25,mesoplastics,4,0.108,1148.4,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,3,5,25,mesoplastics,9,0.207,1285.2,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,4,5,25,mesoplastics,15,0.274,1212.0,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,5,5,25,mesoplastics,10,0.303,1329.8,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,6,5,25,mesoplastics,8,0.191,1441.6,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,7,5,25,mesoplastics,8,0.487,1257.4,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,8,5,25,mesoplastics,26,1.022,1138.4,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,9,5,25,mesoplastics,18,0.238,1092.1,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,10,5,25,mesoplastics,18,1.261,1363.3,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,11,5,25,mesoplastics,11,0.330,1242.3,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,12,5,25,mesoplastics,0,0.000,1342.3,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,13,5,25,mesoplastics,7,0.614,1267.4,storm_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,14,5,25,mesoplastics,22,1.717,1326.0,storm_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,15,5,25,mesoplastics,25,1.659,1275.6,storm_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,16,5,25,mesoplastics,1,0.068,1287.0,supra_littoral
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,17,5,25,mesoplastics,0,0.000,1399.4,supra_littoral
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,18,5,25,mesoplastics,0,0.000,1294.2,supra_littoral
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,19,5,25,mesoplastics,0,0.000,1440.0,supra_littoral
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,20,5,25,mesoplastics,0,0.000,1198.6,supra_littoral
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,21,5,25,mesoplastics,0,0.000,1305.4,high_tide_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,22,5,25,mesoplastics,0,0.000,1345.4,high_tide_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,B,23,5,25,mesoplastics,0,0.000,1344.9,intertidal
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,1,5,25,mesoplastics,4,0.071,1269.9,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,2,5,25,mesoplastics,16,0.345,1212.7,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,3,5,25,mesoplastics,5,0.017,1142.4,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,4,5,25,mesoplastics,10,0.104,1279.7,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,5,5,25,mesoplastics,6,0.039,1317.2,dune
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,6,5,25,mesoplastics,16,0.426,1216.3,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,7,5,25,mesoplastics,5,0.093,1256.5,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,8,5,25,mesoplastics,6,0.127,1092.0,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,9,5,25,mesoplastics,26,0.354,1386.4,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,10,5,25,mesoplastics,9,0.335,1419.7,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,11,5,25,mesoplastics,3,0.092,1401.9,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,12,5,25,mesoplastics,2,0.193,1244.3,backshore
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,13,5,25,mesoplastics,1,0.017,1243.2,storm_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,14,5,25,mesoplastics,16,0.607,1287.9,storm_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,15,5,25,mesoplastics,1,0.038,1258.4,storm_line
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,16,5,25,mesoplastics,0,0.000,1213.5,supra_littoral
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,17,5,25,mesoplastics,0,0.000,1347.4,supra_littoral
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,18,5,25,mesoplastics,0,0.000,1402.0,supra_littoral
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,C,19,5,25,mesoplastics,1,0.017,1267.7,supra_littoral
