"mpID","Continent","Subdivison","Country","System","Waterbody","Zone Area","Tidal Zone","Test Area","Sample Time","Sediment Sample Method","Sediment Depth (cm)","Extract Sediment Wt","Extract Method","Extract Chemical","Extract Oxidizer","No. of Extracts","Inspection","mp range (µm)","mp/kg dw","MP Unit","Dominant Shapes","Dominant Size","Colors","Polymers","N","MP Stat","Notes","Data Obtained From","Abbrev. Reference","DOI"
"1211","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","111933","microplastic/kg sediment dry wt.","(N/R)","<300 micron","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Point Yacht Club-d","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1212","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","40933","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Canal Road-f","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1213","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","11800","microplastic/kg sediment dry wt.","(N/R)","<500 micron","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Harbour Mouth-h","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1214","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","2400","microplastic/kg sediment dry wt.","(N/R)","<500 micron","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Point Basin-i","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1215","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","7200","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Off Q&R Quay-k","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1217","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","8200","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Container Terminal-m","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1219","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","12500","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Off Maydon Wharf-p","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1220","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","14733","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Mudflat 2-q","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1221","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","16800","microplastic/kg sediment dry wt.","(N/R)","<300 micron","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Quay 205-r","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1222","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","3600","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Pier 1-s","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1223","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","6933","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Island View Basin-t","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1224","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","17467","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Heritage Site-u","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1226","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","45867","microplastic/kg sediment dry wt.","(N/R)","<300 micron","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Maydon Wharf-w","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
