"mpID","Continent","Subdivison","Country","System","Waterbody","Zone Area","Tidal Zone","Test Area","Sample Time","Sediment Sample Method","Sediment Depth (cm)","Extract Sediment Wt","Extract Method","Extract Chemical","Extract Oxidizer","No. of Extracts","Inspection","mp range (µm)","mp/kg dw","MP Unit","Dominant Shapes","Dominant Size","Colors","Polymers","N","MP Stat","Notes","Data Obtained From","Abbrev. Reference","DOI"
"1021","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","4","2021 Jul","Core","10-15 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","323.1","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-d-4","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1020","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","4","2021 Jul","Core","5-10 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","2942.3","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-d-4","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1019","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","3","2021 Jul","Core","25-30 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","125.5","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-c-3","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1018","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","3","2021 Jul","Core","20-25 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","839.8","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-c-3","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1017","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","3","2021 Jul","Core","15-20 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","1061.8","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-c-3","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1026","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","5","2021 Jul","Core","10-15 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","180","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-e-5","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1015","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","3","2021 Jul","Core","5-10 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","473","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-c-3","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1027","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","5","2021 Jul","Core","15-20 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","456","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-e-5","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1013","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","2","2021 Jul","Core","20-25 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","221","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-b-2","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1012","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","2","2021 Jul","Core","15-20 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","564.7","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-b-2","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1011","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","2","2021 Jul","Core","10-15 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","247.8","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-b-2","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1010","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","2","2021 Jul","Core","5-10 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","203.1","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-b-2","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1009","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","1","2021 Jul","Core","25-30 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","1304.5","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-a-1","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1008","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","1","2021 Jul","Core","20-25 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","1741.7","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-a-1","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1007","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","1","2021 Jul","Core","15-20 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","1027.5","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-a-1","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1006","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","1","2021 Jul","Core","10-15 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","153","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-a-1","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1005","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","1","2021 Jul","Core","5-10 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","940.1","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-a-1","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1016","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","3","2021 Jul","Core","10-15 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","366.8","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-c-3","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1025","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","5","2021 Jul","Core","5-10 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","336","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-e-5","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1029","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","5","2021 Jul","Core","25-30 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","402","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-e-5","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"1028","Asia","Yunnan","China","Lakes","Jianhu Lake","Limnetic","(N/A)","5","2021 Jul","Core","20-25 cm","73 g dry","1-sieved, 2-density separated, 3-oxidation","zinc chloride (1.6 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","50-5000","624","microplastic/kg sediment dry wt.","fbr, frgmnt, sphr","<1 mm","blue, black, transparent, red, brown","Rayon, Polyethylene terephthalate, Low density styrene-butadiene-styrene","1","Single","","interp_graph; Figure 3-e-5","Li et al. 2023. Long-term deposition records of...","https://dx.doi.org/10.1016/j.scitotenv.2022.159071"
"461","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S12","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","150","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"460","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S11","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","62","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"462","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S13","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","85","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"463","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S14","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","65","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"464","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S15","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","20","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"465","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S16","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","46","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"466","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S17","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","55","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"467","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S18","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","1323","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"468","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S19","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","17","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"469","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S20","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","139","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"470","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S21","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","63","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"450","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S1","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","269","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"453","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S4","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","98","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"451","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S2","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","96","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"454","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S5","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","204","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"452","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S3","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","117","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"458","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S9","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","40","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"455","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S6","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","58","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"457","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S8","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","116","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"459","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S10","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","90","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"456","Asia","Zhejiang","China","Riverine","canals","Bottom","(N/A)","S7","2018 Jul-Oct","metal pail shovel","0-5 cm","100 g dry","1-density separated, 2-oxidized","sodium chloride (1.36 g/ml)","hydrogen peroxide","3x","Visual inspection & FTIR","20-5000","111","microplastic/kg sediment dry wt.","fbrs","<2 mm","black, blue, white, red, brown","polyester, polypropylene, polyethylene","1","Single","Shaoxing textile industrial area","interp_graph; Figure 3B","Deng et al. 2020. Microplastic pollution in wat...","https://doi.org/10.1016/j.envpol.2019.113658"
"1198","Asia","Zhejiang","China","Riverine","Huangtian River","Dredged Sediment","(N/A)","Dredged Sediment Disposal Site","2016 Dec","stainless steel spade","30-30 cm","100 g dry","1-sieved, 2-oxidized, 3-density separated","zinc chloride (1.7 g/ml)","hydrogen peroxide","2x","Visual inspection & FTIR","25-5000","10580","microplastic/kg sediment dry wt.","frgmnt","<1 mm","(N/R)","polyethylene, polypropylene, polystyrene, nylon, polyvinyl chloride","3","Mean","sample collected from top, slope and foot of pile","table_text; Page 3","Ji et al. 2021. Transport and fate of microplas...","https://doi.org/10.1016/j.jhazmat.2020.124132"
"1197","Asia","Zhejiang","China","Riverine","Yuechen River","Dredged Sediment","(N/A)","Dredged Sediment Disposal Site","2016 Dec","stainless steel spade","30-30 cm","100 g dry","1-sieved, 2-oxidized, 3-density separated","zinc chloride (1.7 g/ml)","hydrogen peroxide","2x","Visual inspection & FTIR","25-5000","24784","microplastic/kg sediment dry wt.","frgmnt","<1 mm","(N/R)","polyethylene, polypropylene, polystyrene, nylon, polyvinyl chloride","3","Mean","sample collected from top, slope and foot of pile","table_text; Page 3","Ji et al. 2021. Transport and fate of microplas...","https://doi.org/10.1016/j.jhazmat.2020.124132"
"1199","Asia","Zhejiang","China","Riverine","Yuechen River","Dredged Sediment","(N/A)","Dredged Sediment Disposal Site","2017 May","stainless steel spade","30-30 cm","100 g dry","1-sieved, 2-oxidized, 3-density separated","zinc chloride (1.7 g/ml)","hydrogen peroxide","2x","Visual inspection & FTIR","25-5000","29031","microplastic/kg sediment dry wt.","frgmnt","<1 mm","(N/R)","polyethylene, polypropylene, polystyrene, nylon, polyvinyl chloride","3","Mean","sample collected from top, slope and foot of pile","table_text; Page 3","Ji et al. 2021. Transport and fate of microplas...","https://doi.org/10.1016/j.jhazmat.2020.124132"
"1200","Asia","Zhejiang","China","Riverine","Huangtian River","Dredged Sediment","(N/A)","Dredged Sediment Disposal Site","2017 May","stainless steel spade","30-30 cm","100 g dry","1-sieved, 2-oxidized, 3-density separated","zinc chloride (1.7 g/ml)","hydrogen peroxide","2x","Visual inspection & FTIR","25-5000","11247","microplastic/kg sediment dry wt.","frgmnt","<1 mm","(N/R)","polyethylene, polypropylene, polystyrene, nylon, polyvinyl chloride","3","Mean","sample collected from top, slope and foot of pile","table_text; Page 3","Ji et al. 2021. Transport and fate of microplas...","https://doi.org/10.1016/j.jhazmat.2020.124132"
"342","Asia","Zhejiang","China","Riverine","Wen-Rui Tang River","Bottom","(N/A)","main stream","2016 Aug","Peterson grab","0-15 cm","100 g dry","1-sieved, 2-oxidized, 3-density separated, 4-nile red","zinc chloride (1.7 g/ml)","wet peroxide","2x","Visual inspection & FTIR","20-5000","18690","microplastic/kg sediment dry wt.","frgmnt","<1 mm","blue, green, purple black, white","Polyethylene, Polypropylene, polystyrene, polyester","1","Single","urban; composite of 3 samples from each site","table_text; Table S1, A2","Wang et al. 2018. Preferential accumulation of ...","https://doi.org/10.1016/j.watres.2018.07.050"
"343","Asia","Zhejiang","China","Riverine","Wen-Rui Tang River","Bottom","(N/A)","main stream","2016 Aug","Peterson grab","0-15 cm","100 g dry","1-sieved, 2-oxidized, 3-density separated, 4-nile red","zinc chloride (1.7 g/ml)","wet peroxide","2x","Visual inspection & FTIR","20-5000","27530","microplastic/kg sediment dry wt.","frgmnt","<1 mm","blue, green, purple black, white","Polyethylene, Polypropylene, polystyrene, polyester","1","Single","urban; composite of 3 samples from each site","table_text; Table S1, A5","Wang et al. 2018. Preferential accumulation of ...","https://doi.org/10.1016/j.watres.2018.07.050"
