Date_YYYY-MM-DD,Country_Region,Location_name,Location_lat,Location_lon,Transect,Position,Size_min_mm,Size_max_mm,Size_class,fragment,foamed_plastic,pellet,foil,fiber,fishing_line,cigarette_butt,rope,rubber,fabric,unclear
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,15,1,5,microplastics,3,1,1,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,16,1,5,microplastics,7,3,4,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,17,1,5,microplastics,5,5,1,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,18,1,5,microplastics,2,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,19,1,5,microplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,20,1,5,microplastics,1,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,21,1,5,microplastics,2,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,22,1,5,microplastics,4,1,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,23,1,5,microplastics,1,2,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,24,1,5,microplastics,1,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,25,1,5,microplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,1,1,5,microplastics,0,1,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,2,1,5,microplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,3,1,5,microplastics,0,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,4,1,5,microplastics,2,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,5,1,5,microplastics,1,2,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,6,1,5,microplastics,1,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,7,1,5,microplastics,1,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,8,1,5,microplastics,3,1,1,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,9,1,5,microplastics,9,1,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,10,1,5,microplastics,6,0,0,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,11,1,5,microplastics,21,2,10,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,12,1,5,microplastics,31,2,11,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,13,1,5,microplastics,24,2,12,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,14,1,5,microplastics,29,2,8,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,15,1,5,microplastics,10,3,7,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,16,1,5,microplastics,23,9,4,0,0,0,0,0,0,0,0
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,C,17,1,5,microplastics,5,6,2,0,0,0,0,0,0,0,0
