sample_id,Continent,Country,System,Waterbody,Zone Area,Tidal_Zone,Test_Area,Year,Date,mp/kg dw,Size_class,Dominant_Size,dominant_color,source,environment_type,location,concentration_level,color_display
DOER_133,Asia,China,Estuarine,Tsing Yi,Coastal,Harbor/Port,Rambler Channel,2016.0,unknown,54.0,unknown,(N/R),unknown,DOER Database,Estuary,"Rambler Channel, China",Low,unknown
DOER_132,Asia,China,Estuarine,Tsing Yi,Coastal,Harbor/Port,North of Tsing Yi Island,2016.0,unknown,44.0,unknown,(N/R),unknown,DOER Database,Estuary,"North of Tsing Yi Island, China",Low,unknown
DOER_127,Asia,China,Estuarine,Victoria Harbor,Coastal,Harbor/Port,Northeast of Hong Kong Island,2015.0,unknown,328.0,unknown,(N/R),unknown,DOER Database,Estuary,"Northeast of Hong Kong Island, China",Medium,unknown
DOER_126,Asia,China,Estuarine,Victoria Harbor,Coastal,Harbor/Port,East Kowloon Side,2015.0,unknown,170.0,unknown,(N/R),unknown,DOER Database,Estuary,"East Kowloon Side, China",Medium,unknown
DOER_125,Asia,China,Estuarine,Victoria Harbor,Coastal,Harbor/Port,West Kowloon Side,2015.0,unknown,292.0,unknown,(N/R),unknown,DOER Database,Estuary,"West Kowloon Side, China",Medium,unknown
DOER_123,Asia,China,Estuarine,Tsing Yi,Coastal,Harbor/Port,North of Tsing Yi Island,2015.0,unknown,210.0,unknown,(N/R),unknown,DOER Database,Estuary,"North of Tsing Yi Island, China",Medium,unknown
DOER_118,Asia,China,Estuarine,Victoria Harbor,Coastal,Harbor/Port,Northeast of Hong Kong Island,2015.0,unknown,114.0,unknown,(N/R),unknown,DOER Database,Estuary,"Northeast of Hong Kong Island, China",Medium,unknown
DOER_117,Asia,China,Estuarine,Victoria Harbor,Coastal,Harbor/Port,East Kowloon Side,2015.0,unknown,57.0,unknown,(N/R),unknown,DOER Database,Estuary,"East Kowloon Side, China",Low,unknown
DOER_116,Asia,China,Estuarine,Victoria Harbor,Coastal,Harbor/Port,West Kowloon Side,2015.0,unknown,417.0,unknown,(N/R),unknown,DOER Database,Estuary,"West Kowloon Side, China",Medium,unknown
DOER_115,Asia,China,Estuarine,Tsing Yi,Coastal,Harbor/Port,Rambler Channel,2015.0,unknown,103.0,unknown,(N/R),unknown,DOER Database,Estuary,"Rambler Channel, China",Medium,unknown
DOER_114,Asia,China,Estuarine,Tsing Yi,Coastal,Harbor/Port,North of Tsing Yi Island,2015.0,unknown,131.0,unknown,(N/R),unknown,DOER Database,Estuary,"North of Tsing Yi Island, China",Medium,unknown
