sample_id,Continent,Country,region,System,Waterbody,Zone Area,Tidal_Zone,Test_Area,Year,Date,mp/kg dw,log_concentration,Size_class,Standardized_Shapes,Dominant_Size,dominant_color,source,environment_type,location,concentration_level
DOER_135,Asia,China,East Asia,Estuarine,Victoria Harbor,Coastal,Harbor/Port,East Kowloon Side,,,74.0,1.8750612633917,unknown,"fragment, pellet",(N/R),unknown,DOER Database,Estuary,"East Kowloon Side, China",Low
DOER_134,Asia,China,East Asia,Estuarine,Victoria Harbor,Coastal,Harbor/Port,West Kowloon Side,,,70.0,1.8512583487190752,unknown,"fragment, pellet",(N/R),unknown,DOER Database,Estuary,"West Kowloon Side, China",Low
DOER_133,Asia,China,East Asia,Estuarine,Tsing Yi,Coastal,Harbor/Port,Rambler Channel,,,54.0,1.7403626894942439,unknown,"fragment, pellet",(N/R),unknown,DOER Database,Estuary,"Rambler Channel, China",Low
DOER_132,Asia,China,East Asia,Estuarine,Tsing Yi,Coastal,Harbor/Port,North of Tsing Yi Island,,,44.0,1.6532125137753437,unknown,"fragment, pellet",(N/R),unknown,DOER Database,Estuary,"North of Tsing Yi Island, China",Low
DOER_127,Asia,China,East Asia,Estuarine,Victoria Harbor,Coastal,Harbor/Port,Northeast of Hong Kong Island,,,328.0,2.5171958979499744,unknown,"fragment, pellet",(N/R),unknown,DOER Database,Estuary,"Northeast of Hong Kong Island, China",Medium
DOER_126,Asia,China,East Asia,Estuarine,Victoria Harbor,Coastal,Harbor/Port,East Kowloon Side,,,170.0,2.2329961103921536,unknown,"fragment, pellet",(N/R),unknown,DOER Database,Estuary,"East Kowloon Side, China",Medium
DOER_125,Asia,China,East Asia,Estuarine,Victoria Harbor,Coastal,Harbor/Port,West Kowloon Side,,,292.0,2.4668676203541096,unknown,"fragment, pellet",(N/R),unknown,DOER Database,Estuary,"West Kowloon Side, China",Medium
DOER_123,Asia,China,East Asia,Estuarine,Tsing Yi,Coastal,Harbor/Port,North of Tsing Yi Island,,,210.0,2.3242824552976926,unknown,"fragment, pellet",(N/R),unknown,DOER Database,Estuary,"North of Tsing Yi Island, China",Medium
DOER_118,Asia,China,East Asia,Estuarine,Victoria Harbor,Coastal,Harbor/Port,Northeast of Hong Kong Island,,,114.0,2.060697840353612,unknown,"fragment, pellet",(N/R),unknown,DOER Database,Estuary,"Northeast of Hong Kong Island, China",Medium
DOER_117,Asia,China,East Asia,Estuarine,Victoria Harbor,Coastal,Harbor/Port,East Kowloon Side,,,57.0,1.7634279935629373,unknown,"fragment, pellet",(N/R),unknown,DOER Database,Estuary,"East Kowloon Side, China",Low
DOER_116,Asia,China,East Asia,Estuarine,Victoria Harbor,Coastal,Harbor/Port,West Kowloon Side,,,417.0,2.621176281775035,unknown,"fragment, pellet",(N/R),unknown,DOER Database,Estuary,"West Kowloon Side, China",Medium
DOER_115,Asia,China,East Asia,Estuarine,Tsing Yi,Coastal,Harbor/Port,Rambler Channel,,,103.0,2.0170333392987803,unknown,"fragment, pellet",(N/R),unknown,DOER Database,Estuary,"Rambler Channel, China",Medium
DOER_114,Asia,China,East Asia,Estuarine,Tsing Yi,Coastal,Harbor/Port,North of Tsing Yi Island,,,131.0,2.12057393120585,unknown,"fragment, pellet",(N/R),unknown,DOER Database,Estuary,"North of Tsing Yi Island, China",Medium
DOER_124,Asia,China,East Asia,Estuarine,Tsing Yi,Coastal,Harbor/Port,Rambler Channel,,,186.0,2.271841606536499,unknown,"fragment, pellet",(N/R),unknown,DOER Database,Estuary,"Rambler Channel, China",Medium
DOER_136,Asia,China,East Asia,Estuarine,Victoria Harbor,Coastal,Harbor/Port,Northeast of Hong Kong Island,,,88.0,1.9493900066449128,unknown,"fragment, pellet",(N/R),unknown,DOER Database,Estuary,"Northeast of Hong Kong Island, China",Low
DOER_556,Asia,China,East Asia,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,61.0,1.792391689498254,unknown,"fiber, foil, fragment",(N/R),unknown,DOER Database,Estuary,"Liaohe estuary, China",Low
DOER_557,Asia,China,East Asia,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,65.0,1.8195439355418688,unknown,"fiber, foil, fragment",(N/R),unknown,DOER Database,Estuary,"Liaohe estuary, China",Low
DOER_558,Asia,China,East Asia,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,45.0,1.662757831681574,unknown,"fiber, foil, fragment",(N/R),unknown,DOER Database,Estuary,"Liaohe estuary, China",Low
DOER_559,Asia,China,East Asia,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,154.0,2.1903316981702914,unknown,"fiber, foil, fragment",(N/R),unknown,DOER Database,Estuary,"Liaohe estuary, China",Medium
DOER_560,Asia,China,East Asia,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,73.0,1.8692317197309762,unknown,"fiber, foil, fragment",(N/R),unknown,DOER Database,Estuary,"Liaohe estuary, China",Low
DOER_561,Asia,China,East Asia,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,98.0,1.99563519459755,unknown,"fiber, foil, fragment",(N/R),unknown,DOER Database,Estuary,"Liaohe estuary, China",Low
DOER_562,Asia,China,East Asia,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,141.0,2.1522883443830563,unknown,"fiber, foil, fragment",(N/R),unknown,DOER Database,Estuary,"Liaohe estuary, China",Medium
DOER_563,Asia,China,East Asia,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,80.0,1.9084850188786497,unknown,"fiber, foil, fragment",(N/R),unknown,DOER Database,Estuary,"Liaohe estuary, China",Low
